Al,Cu,Mg,Zn,Tensile Strength (MPa),Yield Strength (MPa)
-1.271685559974948,0.8640776699029128,0.5463414634146341,30.667999999999996,1.3214562468983466,1.4068685096087137
-1.271685559974948,0.8640776699029128,0.5463414634146341,30.667999999999996,0.9398011502713448,1.1009518494618145
0.9047769766147968,-0.0970873786407767,-0.4878048780487805,-0.052,-0.016353795823786363,0.17406353351174933
0.8667236059252305,-0.0970873786407767,-0.4878048780487805,-0.052,-0.17773015803393508,0.021757941688968666
0.8191568925632715,-0.0970873786407767,-0.4878048780487805,-0.052,0.003818249452482225,0.13054765013381198
0.7715901792013146,-0.0970873786407767,-0.4878048780487805,-0.052,-0.21807424858647226,-0.17406353351174933
0.24835633221977635,-0.0970873786407767,1.4634146341463414,-0.052,-0.5408269730067696,-0.7397700174249346
0.1532229054958605,-0.0970873786407767,1.4634146341463414,-0.052,0.42743120025412257,0.391642950401436
0.14370956282346997,-0.0970873786407767,1.4634146341463414,-0.052,0.5484634719117342,0.6744961923580286
0.058089478771944654,-0.0970873786407767,1.4634146341463414,-0.052,0.8308721057794943,0.65273825066906
-0.4974897332957235,2.9951456310679614,-0.4829268292682927,2.588,-0.7627194710457241,-0.783285900802872
-0.588817822950681,3.2281553398058254,-0.4829268292682927,2.6679999999999997,-0.7627194710457241,-0.7615279591139033
-0.6021365026920299,3.1941747572815533,-0.4829268292682927,2.988,-0.6416871993881126,-0.6962541340469973
-0.605941839760986,3.2233009708737863,-0.4829268292682927,2.868,-0.7022033352169184,-0.7397700174249346
-0.4499230199337645,-0.0970873786407767,-0.2682926829268293,-0.052,-0.5690678363935457,
-0.4689497052785477,-0.0970873786407767,-0.2682926829268293,-0.052,-0.5448613820620234,
-0.48797639062333087,-0.0970873786407767,-0.2682926829268293,-0.052,-0.536792563951516,
-0.507003075968114,-0.0970873786407767,-0.2682926829268293,-0.052,-0.519444605013925,
-0.5260297613128971,-0.0970873786407767,-0.2682926829268293,-0.052,-0.5811710635593068,
-0.8875367828637775,-0.0970873786407767,0.926829268292678,-0.052,-0.5973086997803218,
-0.9196918810964604,-0.0970873786407767,0.9756097560975607,-0.052,-0.5408269730067696,
-0.9328202939843602,-0.0970873786407767,0.8780487804877999,-0.052,-0.5529302001725308,
-0.9417628360964098,-0.0970873786407767,0.926829268292678,-0.052,-0.4843452462332176,
-0.9748692685963317,-0.0970873786407767,0.8780487804877999,-0.052,-0.5488957911172772,
-1.005882765708331,-0.0970873786407767,1.0243902439024388,-0.052,-0.6053775178908292,
0.9808837179939295,-0.0970873786407767,-0.4878048780487805,-0.052,,-0.65273825066906
0.9618570326491462,-0.0970873786407767,-0.4878048780487805,-0.052,,-0.32636912533453
