doi,name,series,caption,AA_des,YS,UTS,temper,elong,flag,flag_note
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,180,200,O,7.5,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,197,240,O,7.2,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,207,268,O,9.3,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,219,280,O,10.2,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,200,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,157,171,O,6.7,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,173,194,O,8,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,187,230,O,8.1,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,207,259,O,9.7,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,216,276,O,12.2,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Room temperature tensile properties of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,208,259,O,13,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Tensile properties (tested at 200 degC and initial strain rate 10-3 s-1) of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,64,114,O,31,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,0,6000,Tensile properties (tested at 200 degC and initial strain rate 10-3 s-1) of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,54,84,O,32,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Tensile properties (tested at 200 degC and initial strain rate 10-3 s-1) of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,53,80,O,54.3,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Tensile properties (tested at 200 degC and initial strain rate 10-3 s-1) of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,48,79,O,83.6,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,200,6000,Tensile properties (tested at 200 degC and initial strain rate 10-3 s-1) of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,50,83,O,57.3,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Tensile properties (tested at 200 degC and initial strain rate 10-3 s-1) of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,47,80,O,76.8,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Tensile properties (tested at 200 degC and initial strain rate 10-3 s-1) of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,43,76,O,86.9,TRUE,SPD: ECAP
10.1016/j.actamat.2010.01.037,,6000,Tensile properties (tested at 200 degC and initial strain rate 10-3 s-1) of AA6016-O processed by different number of ECAP passes without and with 200 MPa of back pressure.,6016,41,69,O,98.8,TRUE,SPD: ECAP
10.1007/s11661-012-1121-9,6061-T6,6000,Mechanical Properties,6061,287,315,T6,,FALSE,
10.1016/j.jmatprotec.2012.02.008,6005A T6 actual,6000,Mechanical properties of 6005A.,6005,253,280,T6,10,FALSE,
10.1016/j.jmatprotec.2012.02.008,6005A T6 typical (AluSelect),6000,Mechanical properties of 6005A.,6005,260,285,T6,13,FALSE,
10.1016/j.ijmecsci.2010.08.005,AZ31B,6000,"Mechanical properties of AZ31B , AA6061T6  and ASTM A106 Grade B steel .",6061,,276,T6,16,FALSE,
10.1016/j.ijmecsci.2010.08.005,AA6061T6,6000,"Mechanical properties of AZ31B , AA6061T6  and ASTM A106 Grade B steel .",6061,,310,T6,12,FALSE,
10.1016/j.ijmecsci.2010.08.005,ASTM A106 Grade B (min),6000,"Mechanical properties of AZ31B , AA6061T6  and ASTM A106 Grade B steel .",6061,,415,T6,22,FALSE,
10.1016/j.msea.2012.06.076,AA6181-T4,6000,"Obtained yield, strength and strain values for each material selected for this study. The values are an average of at least three tensile tests conducted for each material.",6181,127,259,T4,26,FALSE,
10.1016/j.actamat.2007.01.006,T6,6000,Summary of mechanical properties of peak aged T6 and T6I6 tempers,,311,352,T6,8.2,FALSE,
10.1016/j.actamat.2007.01.006,T6I6,6000,Summary of mechanical properties of peak aged T6 and T6I6 tempers,,335,368,T6,7.3,FALSE,
10.1016/j.optlastec.2012.06.019,Al-6061-T6,6000,Mechanical properties of the unpeened material.,6061,277.29,324.37,T6,16.4,FALSE,
10.1016/j.ijfatigue.2004.07.007,281,6000,Mechanical properties of the material used (in T6 condition),,,348,T6,16,FALSE,
10.1007/s11663-006-9003-4,6061,6000,Mechanical Properties for the Matrix and the MMCs in As-Extruded Condition and T6 Treated,6061,181,306,T6,,FALSE,
10.1007/s11663-006-9003-4,6061/5 pct TiN,6000,Mechanical Properties for the Matrix and the MMCs in As-Extruded Condition and T6 Treated,6061,192,327,T6,,FALSE,
10.1007/s11663-006-9003-4,6061/10 pct TiN,6000,Mechanical Properties for the Matrix and the MMCs in As-Extruded Condition and T6 Treated,6061,184,303,T6,,FALSE,
10.1007/s11663-006-9003-4,6061/15 pct TiN,6000,Mechanical Properties for the Matrix and the MMCs in As-Extruded Condition and T6 Treated,6061,135,196,T6,,FALSE,
10.1007/s10853-010-4609-y,6063 Al alloy,6000,Mechanical and thermal properties of materials,6063,,215,,,FALSE,
10.1007/s10853-010-4609-y,6063 aluminum alloy,6000,Comparison of tensile strength and impact toughness for parent metals and welded joint (24-146-3),6063,,215,,,FALSE,
10.1016/j.jmatprotec.2012.06.024,Alloy 6061-T6,6000,Mechanical properties specification limits of 6061-T6 aluminum alloy.,6061,,255,T6,12,FALSE,
10.1016/j.jmatprotec.2017.01.029,74.2,6000,The mechanical properties of AA6061-T6 sheet obtained from the uniaxial tension test along the rolling direction.,6061,349.2,381.1,T6,6.95,FALSE,
10.1016/j.msea.2016.04.011,Al 6061-O,6000,The mechanical properties of aluminum and magnesium alloys.,6061,276,82.8,,,FALSE,
10.1016/j.msea.2016.04.011,Al 6061-T6,6000,The mechanical properties of aluminum and magnesium alloys.,6061,185,207,T6,,FALSE,
10.1016/j.jmatprotec.2011.01.023,Al 6061,6000,Specifications of the 6061 aluminum alloy.,6061,,162,,19,FALSE,
10.1016/j.msea.2009.01.057,Forged,6000,"Results of the tensile tests, at room and high temperature, for the as-cast and forged AA6061/Al2O3/23p composite.",6061,144,181,,6.9,FALSE,
10.1007/s11661-010-0279-2,6061Al-T651-BM,6000,LCF Parameters of 6061Al-T651 Alloy in Different Conditions,6061,305,632,T651,,FALSE,
10.1007/s11661-010-0279-2,1400-600,6000,LCF Parameters of 6061Al-T651 Alloy in Different Conditions,1400,275,520,T651,,FALSE,
10.1007/s11661-010-0279-2,1400-400,6000,LCF Parameters of 6061Al-T651 Alloy in Different Conditions,1400,250,471,T651,,FALSE,
10.1007/s11661-010-0279-2,1400-200,6000,LCF Parameters of 6061Al-T651 Alloy in Different Conditions,1400,232,408,T651,,FALSE,
10.1007/s11661-010-0279-2,1000-200,6000,LCF Parameters of 6061Al-T651 Alloy in Different Conditions,1000,230,409,T651,,FALSE,
10.1007/s11661-010-0279-2,600-200,6000,LCF Parameters of 6061Al-T651 Alloy in Different Conditions,6061,220,371,T651,,FALSE,
10.1016/j.msea.2010.10.050,DP 600,6000,Typical mechanical properties of DP600 steel and 6016-T4 Al alloy sheets.,6016,385,625,T4,22,FALSE,
10.1016/j.msea.2010.10.050,AA6016,6000,Typical mechanical properties of DP600 steel and 6016-T4 Al alloy sheets.,6016,130,220,T4,24,FALSE,
