doi,name,series,caption,AA_des,YS,UTS,temper,elong,flag,flag_note
10.1007/s11661-009-9971-5,AA5083-H131,5000,"Tensile Properties and Alloy Composition (Presented in Weight Percent Except H, Which is Presented in Parts per Million) for the Three Materials Studied",5083,286,286,H131,,FALSE,
10.1016/j.matdes.2015.06.106,Bal.,5000,Chemical compositions and mechanical properties of 5052-H32 aluminum alloy.,5052,,225,H32,24,FALSE,
10.1016/j.msea.2009.07.067,Coarse-grained Al 5083,5000,"Density, initial yield strength and elastic modulus of the main microconstituents in the tri-modal Al 5083 based composite  and .",5083,,124,,,FALSE,
10.1016/j.matdes.2015.08.121,69.45,5000,Compositions and mechanical properties of AA5052 sheet.,5052,185.26,234.18,,13.78,FALSE,
10.1016/j.msea.2016.12.107,Rolled sheet(T4),5000,Tensile properties of the cast slab and the PB treated and rolled sheets.,,96.9,242.9,T4,20.9,FALSE,
10.1016/j.msea.2016.12.107,Rolled sheet(T6),5000,Tensile properties of the cast slab and the PB treated and rolled sheets.,,179.6,248.6,T6,11.5,FALSE,
10.1016/j.msea.2012.07.074,Al-Si,5000,Typical mechanical properties of aluminium diecast alloys commonly available in industry.,,170,300,,2.5,FALSE,
10.1016/j.msea.2012.07.074,Al-Si,5000,Typical mechanical properties of aluminium diecast alloys commonly available in industry.,,170,320,,3.5,FALSE,
10.1016/j.msea.2012.07.074,Al-Si-Cu,5000,Typical mechanical properties of aluminium diecast alloys commonly available in industry.,,160,320,,2.5,FALSE,
10.1016/j.msea.2012.07.074,Al-Si-Cu,5000,Typical mechanical properties of aluminium diecast alloys commonly available in industry.,,160,320,,3.5,FALSE,
10.1016/j.msea.2012.07.074,Al-Si-Cu,5000,Typical mechanical properties of aluminium diecast alloys commonly available in industry.,,150,310,,3.5,FALSE,
10.1016/j.msea.2012.07.074,Al-Si-Cu,5000,Typical mechanical properties of aluminium diecast alloys commonly available in industry.,,170,330,,2.5,FALSE,
